prefix	base
rdf	http://www.w3.org/1999/02/22-rdf-syntax-ns#
rdfs	http://www.w3.org/2000/01/rdf-schema#
xsd	http://www.w3.org/2001/XMLSchema#
owl	http://www.w3.org/2002/07/owl#
dct	http://purl.org/dc/terms/
oio	http://www.geneontology.org/formats/oboInOwl#
ex	http://example.com
ldtab	https://ldtab.org/2021/10/ldtab#
NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_
ncbitaxon	http://purl.obolibrary.org/obo/ncbitaxon#
OBI	http://purl.obolibrary.org/obo/OBI_
ONTIE	https://ontology.iedb.org/ontology/ONTIE_
iedb-taxon	https://ontology.iedb.org/taxon/
obo	http://purl.obolibrary.org/obo/
